Year,Month,Longitude,Latitude,SST_Celsius,Population,SharkDensity
2012.0,3.0,-80.9271271,29.0258132,16.3,279668,0.0377358490566037
2011.0,9.0,-118.565232,34.206102,17.3,21580827,0.0
2011.0,5.0,56.3478105,25.3491721,20.5,1419699,0.0
2011.0,2.0,176.91284,-38.1648,22.6,411346,0.0
2010.0,8.0,13.4458656,-20.8928349,15.7,404280,0.0
2010.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2022.0,10.0,-121.925784,36.624975,14.9,21580827,0.0
2022.0,7.0,127.9774759,26.5919599,25.4,2705791,0.0
2022.0,3.0,-80.0569927,26.6159698,16.3,279668,0.1320754716981132
2022.0,3.0,-75.9484148,4.3739074,22.3,10574409,0.0
2022.0,3.0,120.85,17.58333,21.1,13482468,0.0
2022.0,2.0,-80.6102592,28.3194741,15.8,279668,0.0377358490566037
2020.0,12.0,-156.6414705,21.0158672,18.7,0,0.0
2020.0,8.0,-79.9406093,32.6549967,23.8,5206593,0.0
2020.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2020.0,5.0,0.388413,52.620851,11.0,9046485,0.0
2019.0,11.0,34.9983856,32.8191218,18.1,275086,0.0
2019.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2019.0,5.0,-3.4102137207970724,55.9942296,11.0,27171,0.0
2019.0,3.0,-80.13991799627857,27.080492,16.3,279668,0.2452830188679245
2018.0,8.0,-76.7402108,34.6990505,23.8,5206593,0.0
2018.0,8.0,-94.6389136,29.4572611,23.8,21580827,0.0
2018.0,7.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2018.0,5.0,123.87075,-16.39813,25.2,281135,0.0
2018.0,4.0,-83.75368026091502,41.7187975,17.8,5206593,0.0
2017.0,9.0,153.36534589120652,-29.4095634,17.8,447692,0.0188679245283018
2017.0,9.0,-67.80864630668714,44.49765965,12.5,1363159,0.0
2017.0,7.0,-79.1517111,33.3690565,23.3,5206593,0.0
2016.0,12.0,115.75158325035817,-31.8773458,22.4,281135,0.0
2016.0,9.0,144.2824517159807,-38.36898495,15.1,447692,0.0
2016.0,3.0,-80.3686621,27.5561462,16.3,279668,0.0
2016.0,2.0,144.6361724,-40.9338966,21.7,447692,0.0
2016.0,1.0,-159.5091667,22.21,16.9,30661,0.0
2015.0,9.0,-118.8928612057692,34.03920555,17.3,21580827,0.0
2014.0,12.0,-18.673522,64.779262,4.5,216364,0.0
2014.0,11.0,-108.23315,37.442674,12.9,21580827,0.0
2013.0,9.0,-81.0557921,29.2854132,23.3,279668,0.0188679245283018
2013.0,3.0,-52.70654176712439,47.5630467,11.1,5723,0.0
2012.0,10.0,-156.4410367355069,20.6539101,22.7,0,0.0
2012.0,8.0,-1.269031,53.118877,15.0,9046485,0.0
2012.0,6.0,-78.426672,33.8943393,21.8,5206593,0.0
2011.0,11.0,153.0961801,-26.4810973,22.2,447692,0.0
2011.0,10.0,-121.8169383456945,36.62593,14.9,21580827,0.0
2011.0,10.0,-87.6893826,30.2711224,21.8,2136468,0.0
2011.0,8.0,-77.9072081,33.9968399,23.8,5206593,0.0
2011.0,7.0,-34.88194991085768,-8.094506249999998,23.1,4469585,0.0
2011.0,3.0,34.295447,27.8644422,15.5,20076002,0.0
2010.0,12.0,-156.4529879461996,20.8747708,18.7,0,0.0
2010.0,12.0,-156.305445,20.788413,18.7,0,0.0
2010.0,10.0,136.46139206584118,-35.1547688,17.5,447692,0.0
2010.0,1.0,142.21892059042744,-10.57864585,30.2,366862,0.0188679245283018
2010.0,1.0,27.9244827,-32.9729225,21.6,201851,0.0188679245283018
2022.0,8.0,117.9306,-35.08639,15.5,447692,0.0188679245283018
2022.0,5.0,120.4267779,15.4409113,25.5,13482468,0.0
2022.0,5.0,-151.76798225053454,-16.5178904,21.9,136005,0.0
2021.0,12.0,-82.73247233298102,27.529382,17.8,2136468,0.1698113207547169
2021.0,6.0,-80.9271271,29.0258132,21.8,279668,0.0377358490566037
2021.0,4.0,-149.17121147510602,-17.80966095,23.6,136005,0.0
2021.0,1.0,-80.10971009544465,26.2374724,16.3,279668,0.0188679245283018
2020.0,10.0,-77.0382187,34.6653135,21.8,5206593,0.0
2020.0,4.0,-80.6102592,28.3194741,17.8,279668,0.0377358490566037
2020.0,3.0,174.7350172,-36.6202005,22.4,411346,0.0754716981132075
2019.0,11.0,-80.6102592,28.3194741,19.8,279668,0.0377358490566037
2019.0,6.0,-76.8041976009442,25.5394781,21.8,279668,0.0
2019.0,2.0,136.58688005808932,-13.9805252,29.8,366862,0.0
2018.0,11.0,9.114271,50.283325,11.0,119752,0.0
2018.0,9.0,-80.9369983,29.0963729,23.3,279668,0.0377358490566037
2018.0,4.0,153.5878047,-28.7910334,23.3,447692,0.0
2018.0,4.0,-77.38165,39.61427,17.8,5206593,0.0
2018.0,4.0,99.98164063084003,12.45357715,24.4,10156316,0.0
2018.0,4.0,-47.4252319,-23.7074096,23.8,4469585,0.0
2018.0,1.0,-90.6912244,47.9540577,5.5,1363159,0.0
2017.0,4.0,30.48333,-30.83333,20.7,201851,0.0188679245283018
2016.0,12.0,-145.1763391639576,-14.63233395,24.5,136005,0.0
2016.0,2.0,153.4192647873341,-27.8357175,25.6,447692,0.0566037735849056
2015.0,6.0,23.380142737891877,-34.045853,15.8,4430367,0.1132075471698113
2015.0,3.0,34.893817,25.069992,15.5,20076002,0.0
2015.0,3.0,-155.82575643186394,19.99224725,17.5,0,0.0377358490566037
2014.0,12.0,150.6087871232121,-35.173658700000004,21.5,447692,0.0377358490566037
2014.0,10.0,-119.985823,34.7136533,15.5,21580827,0.0
2014.0,5.0,152.4793789497159,-32.21646425,20.4,447692,0.0
2014.0,1.0,-18.673522,64.779262,3.0,216364,0.0
2012.0,6.0,-78.8900409,33.6956461,21.8,5206593,0.0
2012.0,6.0,-78.8900409,33.6956461,21.8,5206593,0.0
2012.0,5.0,-75.689295,35.215573,19.8,5206593,0.0
2012.0,2.0,18.227222,-31.755556,20.4,4430367,0.0
2011.0,10.0,-3.088846,57.6726898,10.6,27171,0.0
2011.0,9.0,-159.55876775017003,22.050466550000003,23.9,30661,0.0
2011.0,3.0,179.96263,-16.16091,28.7,178339,0.0
2010.0,6.0,-80.4821328,32.3223759,21.8,5206593,0.0
2022.0,12.0,10.130049,50.012041,9.0,119752,0.0
2022.0,10.0,-159.55876775017003,22.050466550000003,22.4,30661,0.0
2022.0,7.0,33.8868439,27.0484448,22.5,20076002,0.0
2022.0,2.0,-85.69226196213228,10.5579948,19.7,1047923,0.0
2021.0,7.0,-80.8469427,31.9987321,23.3,5206593,0.0
2021.0,4.0,-80.1635261,25.6968351,17.8,279668,0.0566037735849056
2021.0,3.0,-80.1433786,26.1223084,16.3,279668,0.0188679245283018
2021.0,3.0,166.5363795991953,-20.40843955,27.5,197787,0.0
2021.0,1.0,-0.0081294482240402,51.508313099999995,7.5,9046485,0.0
2021.0,1.0,-80.6102592,28.3194741,16.3,279668,0.0377358490566037
2020.0,9.0,-156.4491481,20.7247791,24.2,0,0.0
2020.0,9.0,-155.839005,19.970122,24.5,0,0.0377358490566037
2020.0,6.0,31.0827778,-29.73,17.0,201851,0.0
2020.0,5.0,-119.5965173,34.4213845,13.8,21580827,0.0943396226415094
2020.0,4.0,151.70825447669318,-23.29589265,25.1,447692,0.0188679245283018
2020.0,1.0,168.2305268,-46.4387778,19.7,411346,0.0377358490566037
2020.0,1.0,-70.1862051,-17.9388968,22.1,1814087,0.0
2019.0,12.0,-156.44973151460266,20.72778925,18.7,0,0.0
2019.0,8.0,-80.1433786,26.1223084,23.8,279668,0.0188679245283018
2019.0,5.0,-82.26204,26.74896,19.8,2136468,0.0
2019.0,3.0,-155.813889,19.926876,17.5,0,0.0377358490566037
2019.0,2.0,-159.5091667,22.21,16.4,30661,0.0
2018.0,7.0,-57.621656,-34.26054,15.3,14966530,0.0
2017.0,10.0,152.08121011636692,-32.786596599999996,18.1,447692,0.0
2017.0,10.0,8.766299,54.385819,13.0,1320826,0.0
2016.0,8.0,55.2265631,-21.0309795,17.7,147209,0.0188679245283018
2016.0,7.0,-0.5201291114891506,38.2511969,17.5,2693542,0.0
2016.0,7.0,153.071264,-26.723974,18.4,447692,0.0
2016.0,5.0,-117.8737398,33.5995916,13.8,21580827,0.0377358490566037
2015.0,10.0,-94.7933252,29.3056996,21.8,21580827,0.0566037735849056
2015.0,7.0,141.7858267638407,-38.25569435,15.1,447692,0.0
